"conflict_country","iso3c","YYYYMM","med_loc_x","med_loc_y","latitude_con","longitude_con","dist_mediation_conflict","mediation_count","agreements_sum","fatalities_best"
"Yemen","YEM","201909",39.173,21.543,15.5527,48.5164,1189796.97567263,1,0,0
"Yemen","YEM","202102",39.173,21.543,15.5527,48.5164,1189796.97567263,1,1,0
"Yemen","YEM","202207",39.173,21.543,15.5527,48.5164,1189796.97567263,1,0,0
"Yemen","YEM","201901",42.951,14.802,15.5527,48.5164,603718.460173997,1,0,0
"Yemen","YEM","201902",42.951,14.802,15.5527,48.5164,603718.460173997,1,0,0
"Yemen","YEM","201907",42.951,14.802,15.5527,48.5164,603718.460173997,1,1,0
"Yemen","YEM","201909",42.951,14.802,15.5527,48.5164,603718.460173997,1,0,0
"Yemen","YEM","202104",44,33,15.5527,48.5164,1994902.90861799,1,0,0
"Yemen","YEM","202111",44.022,13.579,15.5527,48.5164,531714.16900115,1,0,0
"Yemen","YEM","202212",44.022,13.579,15.5527,48.5164,531714.16900115,1,0,0
"Yemen","YEM","202402",44.022,13.579,15.5527,48.5164,531714.16900115,1,0,0
"Yemen","YEM","201801",44.206,15.348,15.5527,48.5164,463044.208829999,1,0,0
"Yemen","YEM","201803",44.206,15.348,15.5527,48.5164,463044.208829999,1,0,0
"Yemen","YEM","201806",44.206,15.348,15.5527,48.5164,463044.208829999,3,0,0
"Yemen","YEM","201807",44.206,15.348,15.5527,48.5164,463044.208829999,2,0,0
"Yemen","YEM","201809",44.206,15.348,15.5527,48.5164,463044.208829999,1,0,0
"Yemen","YEM","201811",44.206,15.348,15.5527,48.5164,463044.208829999,1,0,0
"Yemen","YEM","201901",44.206,15.348,15.5527,48.5164,463044.208829999,3,0,0
"Yemen","YEM","201902",44.206,15.348,15.5527,48.5164,463044.208829999,2,0,0
"Yemen","YEM","201904",44.206,15.348,15.5527,48.5164,463044.208829999,1,0,0
"Yemen","YEM","201907",44.206,15.348,15.5527,48.5164,463044.208829999,1,0,0
"Yemen","YEM","202003",44.206,15.348,15.5527,48.5164,463044.208829999,1,0,0
"Yemen","YEM","202105",44.206,15.348,15.5527,48.5164,463044.208829999,1,0,0
"Yemen","YEM","202106",44.206,15.348,15.5527,48.5164,463044.208829999,1,0,0
"Yemen","YEM","202204",44.206,15.348,15.5527,48.5164,463044.208829999,2,1,0
"Yemen","YEM","202206",44.206,15.348,15.5527,48.5164,463044.208829999,1,0,0
"Yemen","YEM","202207",44.206,15.348,15.5527,48.5164,463044.208829999,1,0,0
"Yemen","YEM","202209",44.206,15.348,15.5527,48.5164,463044.208829999,2,0,0
"Yemen","YEM","202210",44.206,15.348,15.5527,48.5164,463044.208829999,1,0,0
"Yemen","YEM","202212",44.206,15.348,15.5527,48.5164,463044.208829999,1,0,0
"Yemen","YEM","202301",44.206,15.348,15.5527,48.5164,463044.208829999,2,0,0
"Yemen","YEM","202304",44.206,15.348,15.5527,48.5164,463044.208829999,2,1,0
"Yemen","YEM","202305",44.206,15.348,15.5527,48.5164,463044.208829999,1,0,0
"Yemen","YEM","202308",44.206,15.348,15.5527,48.5164,463044.208829999,2,0,0
"Yemen","YEM","202405",44.206,15.348,15.5527,48.5164,463044.208829999,1,1,0
"Yemen","YEM","202109",44.366,33.315,15.5527,48.5164,2020964.71446062,1,0,0
"Yemen","YEM","202102",45,25,15.5527,48.5164,1113731.12692962,1,0,0
"Yemen","YEM","202402",45,25,15.5527,48.5164,1113731.12692962,1,0,0
"Yemen","YEM","201806",45.033,12.8,15.5527,48.5164,484985.326029348,1,1,0
"Yemen","YEM","201903",45.033,12.8,15.5527,48.5164,484985.326029348,1,0,0
"Yemen","YEM","201906",45.033,12.8,15.5527,48.5164,484985.326029348,1,0,0
